Code;Titre;Descriptif;Savoirs;AC;Volume
R4.03;Qualité et au-delà du relationnel;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | SAÉ 4.Real.01 | Développement d’une application complexe | Qualité de schéma, optimisation de modèle | Normalisation | Sensibilisation aux nouveaux paradigmes de modélisation (par ex. : NoSQL, base objet, base déductive...) | Les différents savoirs de référence pourront être approfondis;– AC24.01 | Optimiser les modèles de données de l’entreprise | – AC24.04 | Manipuler des données hétérogènes;14 heures dont 7 heures de TP
R4.04;Méthodes d’optimisation;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 4.Real.01 | Développement d’une application complexe | Introduction à l’apprentissage (arbres de décision, descente de gradient...) | Introduction à la recherche opérationnelle (résolution graphique de programmes linéaires, couplage...) | Introduction aux méthodes arborescentes (par ex. : A*, min-max, alpha-beta...);– AC22.02 | Utiliser des techniques algorithmiques adaptées pour des problèmes complexes (par ex. recherche opération-;10 heures dont 10 heures de TP
R4.05;Anglais;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 4.Real.01 | Développement d’une application complexe | Approfondissement des techniques de présentation orale | Compte-rendu écrit (par ex. : rapport, résumé, synthèse, poster...) | Problématiques sociales, éthiques et numériques liées à l’informatique | Les différents savoirs de référence pourront être approfondis;– AC22.04 | Évaluer l’impact environnemental et sociétal des solutions proposées | – AC26.03 | Mobiliser les compétences interpersonnelles pour travailler dans une équipe informatique | – AC26.04 | Rendre compte de son activité professionnelle;13 heures dont 3 heures de TP
R4.06;Communication interne;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 4.Real.01 | Développement d’une application complexe | Rédaction des documents selon les exigences académiques et professionnelles :(par ex. : documentation technique | Élaboration d’ un discours clair et efficace dans des contextes et pour des publics différents (soutenance et présentation | Analyse et production d’un discours explicatif | Conception d’un document de synthèse fixe ou animé selon les concepts de data visualisation, ou d’infographie (ou | Communication au sein d’un groupe (conduite de réunion, sensibilisation à la gestion des conflits) | Les différents savoirs de référence pourront être approfondis;– AC24.04 | Manipuler des données hétérogènes | – AC26.02 | Appliquer une démarche pour intégrer une équipe informatique au sein d’une organisation | – AC26.04 | Rendre compte de son activité professionnelle;13 heures dont 3 heures de TP
R4.07;Projet personnel et professionnel;;Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | PORTFOLIO | Démarche portfolio | Définition de son profil, en partant de ses appétences, de ses envies et assise de son choix professionnel notamment | Connaissance de soi tout au long de la sa formation | Modalités d’admissions (école et entreprise) | Initiation à la veille informationnelle sur un secteur d’activité, une entreprise, les innovations, les technologies... | Quels sont les différents métiers possibles avec les parcours proposés | Construction d’un ou plusieurs projets professionnels en définissant une stratégie personnelle pour les réaliser | Identifier les métiers associés au(x) projet(s) professionnel(s) | Construire son parcours de formation en adéquation avec son/ses projet(s) professionnel(s) (spécialité et modalité | Découvrir la pluralité des parcours pour accéder à un métier : Poursuite d’études et passerelles en B.U.T.2 et B.U.T.3 | Analyse des métiers envisagés : postes, types d’organisation, secteur, environnement professionnel | Les secteurs professionnels | Les métiers représentatifs du secteur | Quels sont les métiers possibles avec le parcours choisi | Mise en place d’une démarche de recherche de stage et d’alternance et des outils associés | Formaliser les acquis personnels et professionnels de l’expérience du stage (connaissance de soi, choix de domaine | Accompagnement à la recherche de stage, alternance et job étudiant (en lien avec formation) | Développer une posture professionnelle adaptée | Technique de recherche de stage ou d’alternance : rechercher une offre, l’analyser, élaborer un CV & LM adaptés. | Gérer son identité numérique et e-réputation | Connaissance des savoir-faire et savoir-être attendus d’un stagiaire | Abécédaire du stagiaire (notions à connaître avant de commencer un stage) | Carnet de bord du stagiaire;– AC21.01 | Élaborer et implémenter les spécifications fonctionnelles et non fonctionnelles à partir des exigences | – AC21.02 | Appliquer des principes d’accessibilité et d’ergonomie | – AC21.03 | Adopter de bonnes pratiques de conception et de programmation | – AC21.04 | Vérifier et valider la qualité de l’application par les tests | – AC22.01 | Choisir des structures de données complexes adaptées au problème | – AC22.02 | Utiliser des techniques algorithmiques adaptées pour des problèmes complexes (par ex. recherche opération- | – AC22.03 | Comprendre les enjeux et moyens de sécurisation des données et du code | – AC22.04 | Évaluer l’impact environnemental et sociétal des solutions proposées | – AC23.01 | Concevoir et développer des applications communicantes | – AC23.02 | Utiliser des serveurs et des services réseaux virtualisés | – AC23.03 | Sécuriser les services et données d’un système | – AC24.01 | Optimiser les modèles de données de l’entreprise | – AC24.02 | Assurer la sécurité des données (intégrité et confidentialité) | – AC24.03 | Organiser la restitution de données à travers la programmation et la visualisation | – AC24.04 | Manipuler des données hétérogènes | – AC25.01 | Identifier les processus présents dans une organisation en vue d’améliorer les systèmes d’information | – AC25.02 | Formaliser les besoins du client et de l’utilisateur | – AC25.03 | Identifier les critères de faisabilité d’un projet informatique | – AC25.04 | Définir et mettre en œuvre une démarche de suivi de projet | – AC26.01 | Comprendre la diversité, la structure et la dimension de l’informatique dans une organisation (ESN, DSI,...) | – AC26.02 | Appliquer une démarche pour intégrer une équipe informatique au sein d’une organisation | – AC26.03 | Mobiliser les compétences interpersonnelles pour travailler dans une équipe informatique | – AC26.04 | Rendre compte de son activité professionnelle;7 heures
R4.Real.08;Virtualisation;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 4.Real.01 | Développement d’une application complexe | Types de virtualisation (serveur, application, réseau...) | Outils de la virtualisation (hypervision, conteneurs...) | Architectures virtualisées | Les différents savoirs de référence pourront être approfondis;– AC23.02 | Utiliser des serveurs et des services réseaux virtualisés;17 heures dont 7 heures de TP
R4.Real.09;Management avancé des systèmes d’information;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | SAÉ 4.Real.01 | Développement d’une application complexe | Approfondissement des systèmes d’information | Définitions et enjeux des systèmes d’information | Dimensions technologiques, humaines, organisationnelles, financières du système d’information | Impact environnemental | Intégration des systèmes d’information | Alignement stratégique du système d’information | Enjeux et risques pour l’organisation | Initiation aux PGI (progiciels de gestion intégrés) | Gestion de projets des PGI | Les différents savoirs de référence pourront être approfondis;– AC22.04 | Évaluer l’impact environnemental et sociétal des solutions proposées | – AC25.03 | Identifier les critères de faisabilité d’un projet informatique | – AC25.04 | Définir et mettre en œuvre une démarche de suivi de projet;17 heures dont 7 heures de TP
R4.Real.10;Complément web;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | SAÉ 4.Real.01 | Développement d’une application complexe | Programmation web (par ex. : programmation côté client...) | Mise en œuvre de l’ergonomie | Mise en œuvre de l’accessibilité | Les différents savoirs de référence pourront être approfondis;– AC21.01 | Élaborer et implémenter les spécifications fonctionnelles et non fonctionnelles à partir des exigences | – AC21.02 | Appliquer des principes d’accessibilité et d’ergonomie | – AC22.04 | Évaluer l’impact environnemental et sociétal des solutions proposées | – AC24.02 | Assurer la sécurité des données (intégrité et confidentialité) | – AC24.03 | Organiser la restitution de données à travers la programmation et la visualisation | – AC25.02 | Formaliser les besoins du client et de l’utilisateur;17 heures dont 13 heures de TP
R4.Real.11;Développement pour applications mobiles;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | SAÉ 4.Real.01 | Développement d’une application complexe | Programmation pour un système mobile | Problématiques de la mobilité (par ex. : autonomie, robustesse...) | Les différents savoirs de référence pourront être approfondis;– AC21.01 | Élaborer et implémenter les spécifications fonctionnelles et non fonctionnelles à partir des exigences | – AC22.04 | Évaluer l’impact environnemental et sociétal des solutions proposées | – AC24.03 | Organiser la restitution de données à travers la programmation et la visualisation | – AC25.02 | Formaliser les besoins du client et de l’utilisateur;18 heures dont 13 heures de TP
R4.Real.12;Automates et Langages;;"Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 4.Real.01 | Développement d’une application complexe | Langages rationnels et expressions régulières | Automates finis déterministes | Introduction aux grammaires | Applications (par ex. : modélisation de systèmes simples, automates cellulaires...) | Automates finis non-déterministes | le volume horaire alloué à l’ensemble des SAÉ; | le volume de chaque ressource définie nationalement dont les heures TP; | le volume horaire, dont les heures TP, relevant d’une partie de l’adaptation locale et pouvant être affecté de manière non | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | Document de suivi du projet | Document d’analyse et de conception | Code de l’application documenté suivant les règles de l’art | Jeux d’essais | Revue finale du projet | Guide d’utilisation | R5.01 | Initiation au management d’une équipe de projet informatique | R5.03 | Politique de communication | R5.Real.04 | Qualité algorithmique | R5.Real.05 | Programmation avancée | R5.Real.06 | Sensibilisation à la programmation multimédia | R5.Real.07 | Automatisation de la chaîne de production | R5.Real.08 | Qualité de développement | R5.Real.09 | Virtualisation avancée | R5.Real.10 | Nouveaux paradigmes de base de données | R5.Real.11 | Méthodes d’optimisation pour l’aide à la décision | R5.Real.12 | Modélisations mathématiques | R5.Real.13 | Économie durable et numérique | R5.Real.14 | Anglais | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | R5.02 | Projet personnel et professionnel";– AC22.01 | Choisir des structures de données complexes adaptées au problème | – AC22.02 | Utiliser des techniques algorithmiques adaptées pour des problèmes complexes (par ex. recherche opération- | AC31.01 X X X X X X X X X | AC31.02 X X X X | AC31.03 X X X X X X | AC32.01 X X X X X X X | AC32.02 X X | AC32.03 X X X X X X X X X | AC36.01 X X X X X X | AC36.02 X X X | AC36.03 X X X | AC36.04 X X X | – AC31.01 | Choisir et implémenter les architectures adaptées | – AC31.03 | Intégrer des solutions dans un environnement de production | – AC32.01 | Anticiper les résultats de diverses métriques (temps d’exécution, occupation mémoire, montée en charge...) | – AC32.03 | Choisir et utiliser des bibliothèques et méthodes dédiées au domaine d’application (imagerie, immersion, | – AC36.01 | Organiser et partager une veille technologique et informationnelle;à définir localement par chaque IUT
R5.01;Initiation au management d’une équipe de projet informatique;;Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 5.Real.01 | Développement avancé | Gestion et organisation d’une équipe de projet informatique (préparer et gérer une équipe informatique, gestion prévi- | Compétences comportementales et transversales du manager (compétences managériales, compétences humaines et | Les différents savoirs de référence pourront être approfondis;– AC36.03 | Guider la conduite du changement informatique au sein d’une organisation | – AC36.04 | Accompagner le management de projet informatique;9 heures
