Code;Titre;Descriptif;Savoirs;AC;Volume
SAÉ 1.01;Implémentation d’un besoin client;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Code de l’application | Traces d’exécution des jeux d’essais | R1.01 | Initiation au développement | R1.02 | Développement d’interfaces web | R1.10 | Anglais;– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications;à définir localement par chaque IUT
SAÉ 1.02;Comparaison d’approches algorithmiques;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Code de l’application | Présentation du problème et de la comparaison des différentes approches | R1.01 | Initiation au développement | R1.03 | Introduction à l’architecture des ordinateurs | R1.06 | Mathématiques discrètes | R1.07 | Outils mathématiques fondamentaux;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...) | – AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique;à définir localement par chaque IUT
SAÉ 1.03;Installation d’un poste pour le développement;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Dossier d’étude et de choix des solutions | Notice d’utilisation | Présentation orale | Schéma de l’architecture logicielle | R1.03 | Introduction à l’architecture des ordinateurs | R1.04 | Introduction aux systèmes d’exploitation et à leur fonctionnement | R1.10 | Anglais | R1.11 | Bases de la communication;– AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique | – AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement;à définir localement par chaque IUT
SAÉ 1.04;Création d’une base de données;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Jeu de données | Modèle de données | Rapport sur l’importance de ces données en entreprise | Script création base de données | R1.05 | Introduction aux bases de données et SQL | R1.06 | Mathématiques discrètes | R1.09 | Introduction à l’économie durable et numérique;– AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.03 | Concevoir une base de données relationnelle à partir d’un cahier des charges;à définir localement par chaque IUT
SAÉ 1.05;Recueil de besoins;;Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Questionnaire destiné au client | Présentation des besoins (maquettes, scénarios, persona...) s’appuyant sur des outils de bureautique | Présentation orale accompagnée de différents supports numériques (site web, poster, affiche, powerpoint...) | R1.02 | Développement d’interfaces web | R1.08 | Introduction à la gestion des organisations | R1.11 | Bases de la communication;– AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC15.03 | Identifier les acteurs et les différentes phases d’un cycle de développement;à définir localement par chaque IUT
SAÉ 1.06;Découverte de l’environnement économique et écologique;;Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | Rapport présentant le positionnement de l’entreprise | Documents numériques | R1.08 | Introduction à la gestion des organisations | R1.09 | Introduction à l’économie durable et numérique | R1.10 | Anglais | R1.11 | Bases de la communication | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | R1.12 | Projet professionnel et personnel;– AC16.01 | Appréhender l’écosystème numérique | – AC16.04 | Acquérir les compétences interpersonnelles pour travailler en équipe;à définir localement par chaque IUT
R1.01;Initiation au développement;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 1.01 | Implémentation d’un besoin client | SAÉ 1.02 | Comparaison d’approches algorithmiques | Algorithmes fondamentaux (structures simples, recherche d’un élément, parcours, tri...) | Algorithmes sur les structures de données (itératifs et/ou récursifs) | Manipulation de listes, tableaux, collections dynamiques, statiques (accès direct ou séquentiels), piles, files, structures | Types abstraits de données simples : première approche de l’encapsulation | Notions de modularité | Premières notions de qualité (par ex. : nommage, assertions, documentation, sûreté de fonctionnement, jeu d’essais, | Lecture/écriture de fichiers | Introduction à la gestion de versions;– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...);70 heures dont 38 heures de TP
R1.02;Développement d’interfaces web;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 1.01 | Implémentation d’un besoin client | SAÉ 1.05 | Recueil de besoins | Spécifications d’interfaces utilisateur, maquettage (sketch, scénarios, persona...) | Technologies d’affichage du Web (par ex. : HTML, CSS...) | Test de la conformité des sites Web aux standards d’accessibilité W3C / WAI (World Wide Web Consortium / Web | Génération de documents numériques;– AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC11.04 | Développer des interfaces utilisateurs | – AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC16.01 | Appréhender l’écosystème numérique;16 heures dont 12 heures de TP
R1.03;Introduction à l’architecture des ordinateurs;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 1.02 | Comparaison d’approches algorithmiques | SAÉ 1.03 | Installation d’un poste pour le développement | Architecture générale d’un ordinateur, histoire et évolution de l’informatique | Codage (codage des informations de base : nombres, caractères) | Arithmétique des traitements associés | Étude d’un ordinateur personnel (composants...) | Évolution des technologies et des systèmes | Les différents savoirs de référence pourront être approfondis;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique;16 heures dont 6 heures de TP
R1.04;Introduction aux systèmes d’exploitation et à leur fonctionnement;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 1.03 | Installation d’un poste pour le développement | Caractéristiques et types de systèmes d’exploitations | Langage de commande (commandes de base, introduction à la programmation des scripts) | Gestion des processus (création, destruction, suivi...) | Gestion des fichiers (types, droits...) | Gestion des utilisateurs (caractéristiques, création, suppression...) | Principes de l’installation et de la configuration d’un système : notion de noyau, de pilotes, de fichiers de configuration, | Les différents savoirs de référence pourront être approfondis;– AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement;19 heures dont 14 heures de TP
R1.05;Introduction aux bases de données et SQL;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | SAÉ 1.04 | Création d’une base de données | Approche de la conception des bases de données : modèle conceptuel de données et traduction vers le modèle rela- | Algèbre relationnelle | Base du SQL (Structured Query Language) : langage de manipulation de données, langage de définition de données | Éléments sur les jeux de tests + jeux de données | Principes et utilisation d’un SGBD | Utilisation d’atelier de génie logiciel | Formulaire et état | Les différents savoirs de référence pourront être approfondis;– AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.03 | Concevoir une base de données relationnelle à partir d’un cahier des charges;36 heures dont 18 heures de TP
R1.06;Mathématiques discrètes;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | SAÉ 1.02 | Comparaison d’approches algorithmiques | SAÉ 1.04 | Création d’une base de données | Logique (prédicats, propositions...) | Théorie des ensembles | Algèbre de Boole | Arithmétique modulaire | Relations, applications | Dénombrement | Numération;– AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique | – AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica-;28 heures dont 7 heures de TP
R1.07;Outils mathématiques fondamentaux;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 1.02 | Comparaison d’approches algorithmiques | Calcul numérique et algébrique | Systèmes et matrices (pivot de Gauss) | Graphes de fonction | Polynômes | Géométrie du plan;– AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique;17 heures dont 7 heures de TP
R1.08;Introduction à la gestion des organisations;;Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 1.05 | Recueil de besoins | SAÉ 1.06 | Découverte de l’environnement économique et écologique | Fondement des organisations | Définition et finalité de l’organisation | Environnement de l’organisation | Acteurs et fonctions de l’organisation | Culture d’entreprise | Situer une activité dans une organisation | Caractéristiques stratégiques et structurelles des organisations : | Typologie des organisations | Diagnostics et choix stratégiques | Enjeux de la transformation numérique des organisations : | Digitalisation des organisations | Nouvelles formes de management | Structure en réseau et entreprise virtuelle | Responsabilité sociétale des entreprises | Les différents savoirs de référence pourront être approfondis;– AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC16.01 | Appréhender l’écosystème numérique;25 heures dont 7 heures de TP
R1.09;Introduction à l’économie durable et numérique;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 1.04 | Création d’une base de données | SAÉ 1.06 | Découverte de l’environnement économique et écologique | Fondements de l’économie (marchés et dysfonctionnements, acteurs économiques, croissance et déséquilibres écono- | Écoconception des services numériques (économie circulaire / numérique responsable, enjeux du développement du- | Enjeux économiques des données de l’information (acteurs et modèles de l’économie numérique, marché de la donnée) | Les différents savoirs de référence pourront être approfondis;– AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.02 | Visualiser des données | – AC16.01 | Appréhender l’écosystème numérique;18 heures dont 4 heures de TP
R1.10;Anglais;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 1.01 | Implémentation d’un besoin client | SAÉ 1.03 | Installation d’un poste pour le développement | SAÉ 1.06 | Découverte de l’environnement économique et écologique | Vocabulaire de base de l’informatique et de la bureautique | Initiation aux techniques de présentation orale | Compréhension des ressources à l’écrit et à l’oral (par ex. : documentations, tutoriels, documents scientifiques d’actua- | Les différents savoirs de référence pourront être approfondis;– AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC11.04 | Développer des interfaces utilisateurs | – AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique | – AC16.04 | Acquérir les compétences interpersonnelles pour travailler en équipe;21 heures dont 7 heures de TP
R1.11;Bases de la communication;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 1.03 | Installation d’un poste pour le développement | SAÉ 1.05 | Recueil de besoins | SAÉ 1.06 | Découverte de l’environnement économique et écologique | Communication verbale et non verbale | Recherche documentaire, appropriation, réutilisation de l’information, prise de notes, analyse critique des sources | Développement d’une attitude critique | Recueil des besoins (méthode de collecte, d’enquête, d’interview) | Conception de documents de communication (sous divers formats dont numériques) | Les différents savoirs de référence pourront être approfondis;– AC13.04 | Configurer un poste de travail dans un réseau d’entreprise | – AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC15.03 | Identifier les acteurs et les différentes phases d’un cycle de développement | – AC16.01 | Appréhender l’écosystème numérique | – AC16.04 | Acquérir les compétences interpersonnelles pour travailler en équipe;21 heures dont 7 heures de TP
R1.12;Projet professionnel et personnel;;"Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | PORTFOLIO | Démarche portfolio | Appropriation de la démarche PPP : connaissance de soi (intérêt, curiosité, aspirations, motivations), accompagnement | Développer une démarche réflexive et introspective (de manière à découvrir ses valeurs, qualités, motivations, sa- | Placer l’étudiant dans une démarche prospective en termes d’avenir, souhait, motivation vis-à-vis d’un projet d’études | S’initier à la démarche réflexive (savoir interroger et analyser son expérience) | Appropriation de la formation | S’approprier les compétences de la formation – identifier les blocs de compétences | Référencer les compétences et les associer avec la réalité du terrain | Découvrir, analyser les parcours B.U.T. de la spécialité | Accompagner le choix des parcours (type 1 / type 2) | Préparer son stage et/ou son alternance et/ou son parcours à l’international | Découverte des métiers et connaissance du territoire | Faire le lien avec les métiers (fiches ROME – Association article 1) | Débouchés en fonction du territoire, | Bassins d’entreprise, réseaux d’entreprise, implantations | Identifier les métiers en lien avec la formation, en analyser les principales caractéristiques | Projection dans un environnement professionnel | Codes, usages et culture d’entreprise | Intégration des codes sociaux au niveau France, Europe pour s’ouvrir à la diversité culturelle, ouverture sur la mon- | Construire son réseau professionnel : découvrir les réseaux et sensibiliser à l’identité numérique | Meilleure connaissance de soi | Définition de ses compétences au travers des expériences et des SAÉ | le volume horaire alloué à l’ensemble des SAÉ; | le volume de chaque ressource définie nationalement dont les heures TP; | le volume horaire, dont les heures TP, relevant d’une partie de l’adaptation locale et pouvant être affecté de manière non";– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC11.04 | Développer des interfaces utilisateurs | – AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...) | – AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique | – AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique | – AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement | – AC13.04 | Configurer un poste de travail dans un réseau d’entreprise | – AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.02 | Visualiser des données | – AC14.03 | Concevoir une base de données relationnelle à partir d’un cahier des charges | – AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC15.02 | Mettre en place les outils de gestion de projet | – AC15.03 | Identifier les acteurs et les différentes phases d’un cycle de développement | – AC16.01 | Appréhender l’écosystème numérique | – AC16.02 | Découvrir les aptitudes requises selon les différents secteurs informatiques | – AC16.03 | Identifier les statuts, les fonctions et les rôles de chaque membre d’une équipe pluridisciplinaire | – AC16.04 | Acquérir les compétences interpersonnelles pour travailler en équipe | AC11.01 X X X X | AC11.02 X X X X X X | AC11.03 X X X X X | AC11.04 X X X X X | AC12.01 X X X X X X | AC12.02 X X X X | AC12.03 X X X X X | AC13.01 X X X X X | AC13.02 X X X X | AC13.03 X X X X | AC13.04 X X X X X X | AC14.01 X X X X X | AC14.02 X X X X X X X | AC14.03 X X X X | AC15.01 X X X X X X X | AC15.02 X X X X X X | AC15.03 X X X X | AC16.01 X X X X X | AC16.02 X X X X | AC16.03 X X X X | AC16.04 X X X X X;11 heures dont 3 heures de TP
SAÉ 2.01;Développement d’une application;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Diagrammes d’analyse et de conception | Code de l’application | Jeu d’essais prouvant le respect des spécifications | R2.01 | Développement orienté objets | R2.02 | Développement d’applications avec IHM | R2.03 | Qualité de développement | R2.13 | Communication technique;– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC11.04 | Développer des interfaces utilisateurs;à définir localement par chaque IUT
SAÉ 2.02;Exploration algorithmique d’un problème;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Chaîne de compilation et exécutable, ou paquetage selon les standards du langage | Code de l’application | Présentation du problème et de la comparaison des différentes approches | R2.01 | Développement orienté objets | R2.04 | Communication et fonctionnement bas niveau | R2.07 | Graphes | R2.09 | Méthodes numériques;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...) | – AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique;à définir localement par chaque IUT
SAÉ 2.03;Installation de services réseau;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Définition des besoins | Compte rendu de choix des services adaptés | Compte rendu de déploiement et de tests | R2.04 | Communication et fonctionnement bas niveau | R2.05 | Introduction aux services réseaux | R2.12 | Anglais | R2.13 | Communication technique;– AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique | – AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement | – AC13.04 | Configurer un poste de travail dans un réseau d’entreprise;à définir localement par chaque IUT
SAÉ 2.04;Exploitation d’une base de données;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Étude des données et visualisation des informations | Modèle de données | Présentation orale des résultats en anglais | Script de création de base de données | R2.06 | Exploitation d’une base de données | R2.08 | Outils numériques pour les statistiques descriptives | R2.10 | Introduction à la gestion des systèmes d’information | R2.12 | Anglais;– AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.02 | Visualiser des données | – AC14.03 | Concevoir une base de données relationnelle à partir d’un cahier des charges;à définir localement par chaque IUT
SAÉ 2.05;Gestion d’un projet;;Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Cahier des charges | Dossier de gestion de projet (Gantt, Pert, évaluation des ressources, calcul de budget) | Étude de coûts | R2.10 | Introduction à la gestion des systèmes d’information | R2.11 | Introduction au droit | R2.12 | Anglais | R2.13 | Communication technique;– AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC15.02 | Mettre en place les outils de gestion de projet | – AC15.03 | Identifier les acteurs et les différentes phases d’un cycle de développement;à définir localement par chaque IUT
SAÉ 2.06;Organisation d’un travail d’équipe;;Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | Rapport d’organisation | Éléments résultant de la production du travail en équipe | Restitution orale ou visuelle | R2.11 | Introduction au droit | R2.12 | Anglais | R2.13 | Communication technique | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | R2.14 | Projet professionnel et personnel;– AC16.01 | Appréhender l’écosystème numérique | – AC16.02 | Découvrir les aptitudes requises selon les différents secteurs informatiques | – AC16.03 | Identifier les statuts, les fonctions et les rôles de chaque membre d’une équipe pluridisciplinaire | – AC16.04 | Acquérir les compétences interpersonnelles pour travailler en équipe;à définir localement par chaque IUT
R2.01;Développement orienté objets;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 2.01 | Développement d’une application | SAÉ 2.02 | Exploration algorithmique d’un problème | Concepts fondamentaux du développement orienté objets | Initiation à la conception orientée objet détaillée (par ex. : diagramme de classes, séquence...) | Application orientée objets des algorithmes sur des structures de données (par ex. : collections...) | Illustration de l’exécution d’un algorithme dans un schéma mémoire (pile et tas) | Bases de la modélisation objet pour l’analyse (par ex. : diagramme des cas d’utilisation, diagramme d’activités...);– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don-;41 heures dont 21 heures de TP
R2.02;Développement d’applications avec IHM;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 2.01 | Développement d’une application | Programmation événementielle | Programmation d’interfaces utilisateurs, utilisation de composants graphiques | Compréhension et mise en place de la séparation entre la vue et le modèle | Liaison de données entre propriétés (databinding, master/detail) | Sensibilisation à l’ergonomie | Assurance de la persistance des données;– AC11.02 | Élaborer des conceptions simples | – AC11.04 | Développer des interfaces utilisateurs | – AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC16.01 | Appréhender l’écosystème numérique;29 heures dont 17 heures de TP
R2.03;Qualité de développement;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | SAÉ 2.01 | Développement d’une application | Première approche de la gestion des cas d’erreurs (par ex. : exceptions...) | Sensibilisation à la production de tests unitaires | Automatisation de tests unitaires | Traces et utilisation d’outils de débogage | Utilisation d’un outil de gestion de versions | Problématique de la non-régression;– AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC15.02 | Mettre en place les outils de gestion de projet;17 heures dont 12 heures de TP
R2.04;Communication et fonctionnement bas niveau;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 2.02 | Exploration algorithmique d’un problème | SAÉ 2.03 | Installation de services réseau | Étude d’un système à microprocesseur ou microcontrôleur avec ses composants (mémoires, interfaces, périphériques...) | Langages de programmation de bas niveau et mécanismes de bas niveau d’un système informatique | Étude d’architectures de réseaux et notion de pile protocolaire | Technologie des réseaux locaux : Ethernet, wifi, TCP/IP, routage, commutation, adressage, transport | Les différents savoirs de référence pourront être approfondis;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement | – AC13.04 | Configurer un poste de travail dans un réseau d’entreprise;21 heures dont 8 heures de TP
R2.05;Introduction aux services réseaux;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 2.03 | Installation de services réseau | Bases des services réseaux et architectures client-serveur | Introduction à l’installation et la configuration d’un réseau | Utilisation d’applications clientes réseau : messagerie, transfert de fichiers, terminal virtuel, répertoires partagés | Les différents savoirs de référence pourront être approfondis;– AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.04 | Configurer un poste de travail dans un réseau d’entreprise;14 heures dont 7 heures de TP
R2.06;Exploitation d’une base de données;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | SAÉ 2.04 | Exploitation d’une base de données | SQL avancé (Structured Query Language) | Visualisation de données | Premier niveau de l’administration des SGBD : utilisateurs, rôles, droits | Les différents savoirs de référence pourront être approfondis;– AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.02 | Visualiser des données | – AC14.03 | Concevoir une base de données relationnelle à partir d’un cahier des charges;28 heures dont 21 heures de TP
R2.07;Graphes;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | SAÉ 2.02 | Exploration algorithmique d’un problème | Graphes orientés et non orientés, concepts et outils, arbres | Parcours | Plus court chemin | Outils descriptifs pour l’ordonnancement | Étude de problèmes usuels (affectation, flots, colorations, transitivité...) | Les différents savoirs de référence pourront être approfondis;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique | – AC15.02 | Mettre en place les outils de gestion de projet;23 heures dont 11 heures de TP
R2.08;Outils numériques pour les statistiques descriptives;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | SAÉ 2.04 | Exploitation d’une base de données | Paramètres de dispersion et de position (moyenne, variance, médiane...) | Représentation de données (diagrammes, ajustement linéaire...) | Les différents savoirs de référence pourront être approfondis;– AC14.02 | Visualiser des données;11 heures dont 7 heures de TP
R2.09;Méthodes numériques;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 2.02 | Exploration algorithmique d’un problème | Suites, récurrence (récursivité) | Méthodes numériques et résolution numérique (résolution d’équations, approximation et interpolation polynomiale...) | Les différents savoirs de référence pourront être approfondis;– AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...) | – AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique;11 heures dont 7 heures de TP
R2.10;Introduction à la gestion des systèmes d’information;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | SAÉ 2.04 | Exploitation d’une base de données | SAÉ 2.05 | Gestion d’un projet | Fondements du système d’information comptable, financier et décisionnel (sources d’informations, comptabilité générale, | Découverte de la gestion de projet informatique (acteurs et parties prenantes, management de l’équipe projet, expression | Les différents savoirs de référence pourront être approfondis;– AC14.02 | Visualiser des données | – AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC15.02 | Mettre en place les outils de gestion de projet | – AC15.03 | Identifier les acteurs et les différentes phases d’un cycle de développement;32 heures dont 11 heures de TP
R2.11;Introduction au droit;;Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 2.05 | Gestion d’un projet | SAÉ 2.06 | Organisation d’un travail d’équipe | Introduction générale au droit du numérique (sources du droit, organisation judiciaire, régimes de responsabilité, adap- | Introduction générale au droit des contrats (bases du droit des contrats) | Les différents savoirs de référence pourront être approfondis;– AC16.01 | Appréhender l’écosystème numérique;14 heures
